XIMEA code samples list;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Sample name;Author;Tomas_category;Description;Duplicate_group_ID;OS platform;Hardware platform;API type;Programming language;Libraries;Year of last update;Location;Path;Copyright;Note;Done?
Demosaic Sample;Michal Lú?ny;Color / Bayer / color correction;Depacking and demosaicing image from a color camera using CUDA. Render the image to screen and save to .tif;;Linux;Nvidia Jetson;xiAPI;C++;"OpenCV with CUDA and OpenGL; CUDA; Nvidia performance primitives";2025;Application-Samples repo;link;Standard;Can be upgraded with software trigger and faster .tif saving;x
Blinky;Michal Lú?ny;Trigger / GPIO / I/O / strobe;Blinks LED on XEC-NX-3P-X2G3 carrier board;1;Linux;Nvidia Jetson;None;Python;Libgpiod;2026;Application-Samples repo;link;Standard;;x
Bmp280_i2c;Michal Lú?ny;Trigger / GPIO / I/O / strobe;Reads temperature from BMP280 sensor via 3v3 level I2C;2;Linux;Nvidia Jetson;None;Python;Pylibi2c;2026;Application-Samples repo;link;Standard;;x
Bmp280_spi;Michal Lú?ny;Trigger / GPIO / I/O / strobe;Reads temperature from BMP280 sensor via 3v3 level SPI;2;Linux;Nvidia Jetson;None;Python;PySpidev;2026;Application-Samples repo;link;Standard;;x
Polling_button;Michal Lú?ny;Trigger / GPIO / I/O / strobe;Implements debouncing on XEC-NX-3P-X2G3 carrier board button;1;Linux;Nvidia Jetson;None;Python;Libgpiod;2026;Application-Samples repo;link;Standard;;x
Simple_input;Michal Lú?ny;Trigger / GPIO / I/O / strobe;Reads input from XEC-NX-3P-X2G3 carrier board button;1;Linux;Nvidia Jetson;None;Python;Libgpiod;2026;Application-Samples repo;link;Standard;;x
Uart_loopback;Michal Lú?ny;Trigger / GPIO / I/O / strobe;Implements loopback on UART interface of Nvidia Jetson;3;Linux;Nvidia Jetson;None;Python;PySerial;2026;Application-Samples repo;link;Standard;;x
Uart_p2p_jetson;Michal Lú?ny;Trigger / GPIO / I/O / strobe;Communicates via UART interface of nvidia Jetson with USB-to-UART adapter;3;Linux;Nvidia Jetson;None;Python;PySerial;2026;Application-Samples repo;link;Standard;;x
Uart_p2p_pc;Michal Lú?ny;Trigger / GPIO / I/O / strobe;Communicates via USB-to-UART adapter with the UART interface of nvidia Jetson;3;Linux;Cross-platform;None;Python;PySerial;2026;Application-Samples repo;link;Standard;;x
RPI-demosaic;Michal Lú?ny;Color / Bayer / color correction;Implements demosaicing on the ISP of Raspberry Pi Compute Module 5;;Linux;Raspberry Pi;None;C++;Libpisp;2026;Private MichalLuc Github repo;link;Standard;Work in progress;
Gst_nv_recorder;Michal Lú?ny;Save images / video / sequences;Demosaics images from a color camera, records stream into a .mkv file with h265 compression with the use of Gstreamer and Nvidia Jetson hardware accelerators;;Linux;Nvidia Jetson;xiAPI;C++;"Gstreamer; OpenCV with CUDA and OpenGL; Jetson multimedia API";2023;Files;\\files\Public\Jetson\SAMPLES\gst_nv_recorder;Standard;Made for Jetson Xavier with Jetpack 4.6. Can be upgraded and re-worked for Orin;
ffmpeg_shell_recorder;Michal Lú?ny;Save images / video / sequences;Reads images from a color camera, Renders them onto the screen and saves the raw stream into a .avi file;;Linux;Cross-platform;xiAPI;C++;"SDL2; FFmpeg";2022;Files;\\files\Public\Jetson\SAMPLES\ffmpeg_shell_recorder;Standard;Slow and unoptimized code. Main bottleneck is the xiAPI CPU debayering. No compression on the saved video;
Ocv_gpu_camera;Michal Lú?ny;OpenCV integration;Reads images from a camera, normalizes them and applies sobel filter via GPU;;Linux;Cross-platform;xiAPI;C++;" OpenCV with CUDA and OpenGL; ";2022;Files;;Standard;;
Sdl_debayer_camera;Michal Lú?ny;Color / Bayer / color correction;Reads images from a color camera, demosaics them and renders them onto the screen. Records demosaicing duration into a .csv file ;4;Linux;Cross-platform;xiAPI;C++;"SDL2; Nvidia performance primitives";2023;Files;\\files\Public\Jetson\SAMPLES\DEBAYERING_BENCHMARK\XIMU(real)\NPPI_UNIFIED;Standard;Made for demosaicing benchmarking on Nvidia Jetson Xavier NX. Mutations with other demosaicing libraries are available.;
Jetson_api_camera;Michal Lú?ny;Color / Bayer / color correction;Reads images from a color camera, demosaics them and renders them onto the screen.;4;Linux;Nvidia Jetson;xiAPI;C++;"Jetson multimedia api; Nvidia performance primitives";2023;Files;\\files\Projects\Nvidia\Jetson\Sample_programs\WIP\jetson_api_camera;Standard;This is an unfinished sample for rendering using Jetson multimedia API. It should reasonably work. Made for Jetson Xavier NX with Jetpack 4.6. Outdated by now.;
Rgb_tof_fusion;Michal Lú?ny;Stereo / disparity / point cloud / 3D;"Reads data from RGB and AMCW I-ToF cameras, performs depacking, demosaicing, White balance, color correction on the RGB camera; performs depacking, phase shift, amplitude , depth and pointcloud calculation on ToF; fuses RGB and ToF data into colored pointcloud";;Linux;Cross-platform;xiAPI;C++;"OpenCV with CUDA and OpenGL; PCL; CUDA;";2024;Files;\\files\Projects\TOF\rgb_tof_fusion;Standard;Permanent alignment error in the RGB-ToF fusion of about 20 px, I think I now know why ,and it theoretically could be fixed.;
Embedded_world_MU_demosaic;Michal Lú?ny;Color / Bayer / color correction;Depacking, Demosaicing, White balance, color correction using nvidia performance primitives. Also works for mono cameras - skips the color related processings. Render image onto the screen using OpenCV with OpenGL. Single thread only;;Linux;Nvidia Jetson;xiAPI;C++;"OpenCV with CUDA and OpenGL; CUDA; Nvidia performance primitives";2026;demo-apps repo;https://github.com/xiadmin/demo-apps/tree/main/Embedded_world_MU_demosaic;Standard;It was designed with multihreading - multiple cameras, each having its own thread - in mind. Opencv limits this to only one thread, so it would have to be switched to SDL3.;
